school_uuid,class_of,url_source,downloaded_on
38,2016,http://www.law.uga.edu/sites/default/files/Classof2016ABASummary041017_700pxwide.jpg,2017-09-11
38,2015,http://www.law.uga.edu/sites/default/files/EmploymentQuestionnaireSummary041916_web.jpg,2017-09-11
38,2014,http://www.law.uga.edu/sites/default/files/2014EmploymentData_web.jpg,2017-09-11
38,2013,http://www.law.uga.edu/sites/default/files/EmploymentSummary50714_web.jpg,2017-09-11
38,2012,http://www.law.uga.edu/sites/default/files/UGA%20Class%20of%202012%20ABA%20Report%20as%20of%205.23.2013%20downloaded%20from%20ABA%20site.jpg,2017-09-11
38,2011,N/A,N/A
38,2010,N/A,N/A
39,2016,http://law.emory.edu/_includes/documents/sections/about/ABA-documents/aba-employment-summary-2016.pdf,2017-09-11
39,2015,http://law.emory.edu/_includes/documents/sections/about/ABA-documents/EmploymentQuestionnaireSummary-39-39-04-07-2016-15-00-51.pdf,2017-09-11
39,2014,http://law.emory.edu/_includes/documents/sections/about/ABA-documents/EmploymentQuestionnaireSummary-39-39-04-07-2015%2015-36-36.pdf,2017-09-11
39,2013,N/A,N/A
39,2012,N/A,N/A
39,2011,N/A,N/A
39,2010,N/A,N/A
40,2016,https://law.mercer.edu/www/mu-law/career/employment/upload/ABA-Final-EmploymentQuestionnaireSummary-Class-2016-4-7-17.pdf,
40,2015,https://law.mercer.edu/www/mu-law/career/employment/upload/ABA-Employment-Summary-for-2015-Graduates-Final-4-7-16.pdf,
40,2014,https://law.mercer.edu/mu-law/career/employment/upload/ABA-EmploymentSummary-2015-Revised-4-28-15.pdf,
40,2013,https://law.mercer.edu/mu-law/career/employment/upload/ABA-Employment-Summary-Class-of-2013.pdf,
40,2012,N/A,N/A
40,2011,N/A,N/A
40,2010,N/A,N/A
41,2016,https://www.law.hawaii.edu/sites/www.law.hawaii.edu/files/content/Careers/DOC041417.pdf,2017-09-11
41,2015,https://www.law.hawaii.edu/sites/www.law.hawaii.edu/files/content/Careers/Class%20of%202015%20%2810%20mos%20post%20grad%29%20Employment%20Statistics%20LATEST%204-12-16.pdf,2017-09-11
41,2014,https://www.law.hawaii.edu/sites/www.law.hawaii.edu/files/content/Copy%20of%20Class%20of%202014%20Employment%20Statistics%20CORRECTED%2012-15edit.pdf,2017-09-11
41,2013,https://www.law.hawaii.edu/sites/www.law.hawaii.edu/files/content/ABA%20Employment%20Summary%20Class%202013.pdf,2017-09-11
41,2012,https://www.law.hawaii.edu/sites/www.law.hawaii.edu/files/content/about-us/ABA%20EmploymentSummary-Class%20of%202012%20%281%29.pdf,2017-09-11
41,2011,N/A,N/A
41,2010,N/A,N/A
42,2016,https://www.uidaho.edu/~/media/UIdaho-Responsive/Files/law/career-development/employment-statistics/2016-aba-employment-summary.ashx,2017-09-11
42,2015,https://www.uidaho.edu/~/media/UIdaho-Responsive/Files/law/career-development/employment-statistics/2015-aba-employment-summary.ashx,2017-09-11
42,2014,https://www.uidaho.edu/~/media/UIdaho-Responsive/Files/law/career-development/employment-statistics/2014-aba-employment-summary.ashx,2017-09-11
42,2013,N/A,N/A
42,2012,N/A,N/A
42,2011,N/A,N/A
42,2010,N/A,N/A
43,2016,http://www.law.siu.edu/_common/documents/aba-employment-2016.pdf,
43,2015,http://www.law.siu.edu/_common/documents/aba-employment-2015.pdf,
